subject,latitude,longitude
Parks & Recreation Department,42.2894,-71.0615
Inspectional Services,42.3536,-71.0785
Public Works Department,42.3425,-71.1581
Inspectional Services,42.3338,-71.0369
Public Works Department,42.2905,-71.0774
Public Works Department,42.2501,-71.1396
Public Works Department,42.2490,-71.1394
Inspectional Services,42.3594,-71.0587
Public Works Department,42.2489,-71.1393
Public Works Department,42.2487,-71.1392
Public Works Department,42.2958,-71.0634
Inspectional Services,42.3502,-71.0415
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.2886,-71.0720
Public Works Department,42.2630,-71.1090
Public Works Department,42.3603,-71.0583
Public Works Department,42.3584,-71.0673
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3594,-71.0587
Inspectional Services,42.3827,-71.0358
Public Works Department,42.2922,-71.1593
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3219,-71.0734
Public Works Department,42.3331,-71.0476
Public Works Department,42.2857,-71.1240
Public Works Department,42.3740,-71.0360
Inspectional Services,42.3502,-71.0513
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3731,-71.0396
Public Works Department,42.3738,-71.0654
Inspectional Services,42.3093,-71.0511
Public Works Department,42.3730,-71.0650
Inspectional Services,42.3486,-71.0841
Mayor's 24 Hour Hotline,42.2738,-71.1503
Inspectional Services,42.3508,-71.1090
Public Works Department,42.2670,-71.1173
Public Works Department,42.3068,-71.0692
Public Works Department,42.3068,-71.0692
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Public Works Department,42.2950,-71.0687
Transportation - Traffic Division,42.3369,-71.0509
Transportation - Traffic Division,42.3365,-71.0279
Transportation - Traffic Division,42.3714,-71.0414
Public Works Department,42.3619,-71.0530
Public Works Department,42.3825,-71.0370
Public Works Department,42.2871,-71.0548
Property Management,42.3895,-70.9987
Public Works Department,42.2978,-71.1731
Property Management,42.3594,-71.0587
Public Works Department,42.3034,-71.1144
Public Works Department,42.3522,-71.0470
Property Management,42.3889,-71.0002
Property Management,42.3594,-71.0587
Public Works Department,42.3909,-71.0121
Transportation - Traffic Division,42.3238,-71.0756
Public Works Department,42.3262,-71.0917
Public Works Department,42.3600,-71.0642
Transportation - Traffic Division,42.3641,-71.0639
Public Works Department,42.2537,-71.1290
Public Works Department,42.3312,-71.0424
Public Works Department,42.3594,-71.0587
Parks & Recreation Department,42.2676,-71.1276
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.2967,-71.0632
Public Works Department,42.2967,-71.0632
Public Works Department,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.2655,-71.1521
Mayor's 24 Hour Hotline,42.3594,-71.0587
Public Works Department,42.2947,-71.0814
Inspectional Services,42.3406,-71.0522
Public Works Department,42.3594,-71.0587
Public Works Department,42.2911,-71.0720
Property Management,42.3816,-71.0288
Public Works Department,42.3418,-71.0568
Public Works Department,42.3594,-71.0587
Public Works Department,42.3288,-71.0551
Public Works Department,42.3305,-71.0820
Public Works Department,42.2892,-71.1224
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.2700,-71.1043
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3348,-71.0444
Public Works Department,42.2811,-71.1210
Public Works Department,42.3594,-71.0587
Public Works Department,42.3405,-71.1589
Parks & Recreation Department,42.2796,-71.0526
Mayor's 24 Hour Hotline,42.3292,-71.0691
Public Works Department,42.3582,-71.0695
Public Works Department,42.3195,-71.0461
Public Works Department,42.2819,-71.0843
Public Works Department,42.3594,-71.0587
Mayor's 24 Hour Hotline,42.3594,-71.0587
Transportation - Traffic Division,42.3634,-71.1300
Public Works Department,42.3594,-71.0587
Public Works Department,42.3799,-71.0605
Public Works Department,42.3551,-71.1485
Mayor's 24 Hour Hotline,42.3344,-71.0748
Mayor's 24 Hour Hotline,42.3594,-71.0587
Transportation - Traffic Division,42.3502,-71.0829
Public Works Department,42.3607,-71.0564
Public Works Department,42.2673,-71.1250
Public Works Department,42.3445,-71.0815
Public Works Department,42.2572,-71.1600
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.2922,-71.1228
Boston Water & Sewer Commission,42.2914,-71.1221
Public Works Department,42.3802,-71.0388
Public Works Department,42.3061,-71.0670
Public Works Department,42.3000,-71.1700
Public Works Department,42.2868,-71.1464
Inspectional Services,42.3036,-71.1301
Public Works Department,42.3594,-71.0704
Public Works Department,42.2980,-71.1684
Public Works Department,42.3793,-71.0308
Public Works Department,42.3594,-71.0587
Public Works Department,42.2885,-71.0548
Public Works Department,42.3594,-71.0587
Parks & Recreation Department,42.2921,-71.1292
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3161,-71.0692
Public Works Department,42.2739,-71.1071
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3333,-71.0355
Transportation - Traffic Division,42.3747,-71.0640
Transportation - Traffic Division,42.3328,-71.0331
Transportation - Traffic Division,42.3594,-71.0587
Transportation - Traffic Division,42.3762,-71.0362
Public Works Department,42.3783,-71.0541
Public Works Department,42.3520,-71.1410
Inspectional Services,42.3773,-71.0390
Transportation - Traffic Division,42.3652,-71.0318
Public Works Department,42.3397,-71.0786
Public Works Department,42.3594,-71.0587
Public Works Department,42.3143,-71.1007
Public Works Department,42.3313,-71.0997
Mayor's 24 Hour Hotline,42.3594,-71.0587
Public Works Department,42.3439,-71.0806
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3436,-71.0689
Mayor's 24 Hour Hotline,42.3311,-71.0844
Public Works Department,42.2651,-71.1099
Public Works Department,42.2977,-71.0678
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3643,-71.0577
Public Works Department,42.3594,-71.0587
Parks & Recreation Department,42.3824,-71.0678
Public Works Department,42.3107,-71.1160
Inspectional Services,42.3514,-71.0768
Transportation - Traffic Division,42.2843,-71.0694
Transportation - Traffic Division,42.3334,-71.0253
Public Works Department,42.3445,-71.0724
Public Works Department,42.3281,-71.0744
Public Works Department,42.3594,-71.0587
Mayor's 24 Hour Hotline,42.3461,-71.0773
Transportation - Traffic Division,42.3155,-71.0531
Transportation - Traffic Division,42.3650,-71.0610
Public Works Department,42.3364,-71.0841
Public Works Department,42.3159,-71.0631
Inspectional Services,42.2638,-71.1027
Boston Police Department,42.2707,-71.1323
Mayor's 24 Hour Hotline,42.3594,-71.0587
Transportation - Traffic Division,42.3125,-71.0765
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.2649,-71.1070
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3456,-71.1629
Parks & Recreation Department,42.3107,-71.0963
Public Works Department,42.3594,-71.0587
Public Works Department,42.3610,-71.0673
Public Works Department,42.3303,-71.0522
Public Works Department,42.2909,-71.1007
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3802,-71.0585
Public Works Department,42.2803,-71.1167
Transportation - Traffic Division,42.3594,-71.0587
Transportation - Traffic Division,42.2969,-71.0850
Public Works Department,42.3496,-71.1334
Public Works Department,42.3594,-71.0587
Mayor's 24 Hour Hotline,42.3318,-71.0671
Public Works Department,42.3559,-71.1374
Transportation - Traffic Division,42.3464,-71.0887
Public Works Department,42.3594,-71.0587
Public Works Department,42.2872,-71.1210
Public Works Department,42.3577,-71.0505
Transportation - Traffic Division,42.3486,-71.0788
Public Works Department,42.3519,-71.0846
Transportation - Traffic Division,42.3365,-71.0279
Public Works Department,42.3140,-71.0722
Parks & Recreation Department,42.3594,-71.0587
Public Works Department,42.3270,-71.0949
Public Works Department,42.3038,-71.1038
Public Works Department,42.3761,-71.0389
Inspectional Services,42.3657,-71.0617
Public Works Department,42.3489,-71.0737
Public Works Department,42.3489,-71.0737
Inspectional Services,42.3147,-71.0713
Inspectional Services,42.2867,-71.0406
Mayor's 24 Hour Hotline,42.3594,-71.0587
Public Works Department,42.2711,-71.1282
Public Works Department,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Public Works Department,42.2813,-71.0679
Public Works Department,42.3245,-71.0577
Mayor's 24 Hour Hotline,42.3594,-71.0587
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3001,-71.0808
Public Works Department,42.3659,-71.0571
Inspectional Services,42.3038,-71.0753
Parks & Recreation Department,42.2786,-71.1186
Public Works Department,42.3378,-71.0438
Transportation - Traffic Division,42.3542,-71.0583
Inspectional Services,42.2885,-71.0907
Public Works Department,42.3432,-71.0964
Public Works Department,42.2719,-71.1293
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3502,-71.0945
Public Works Department,42.3452,-71.0659
Public Works Department,42.3153,-71.0590
Transportation - Traffic Division,42.3403,-71.1094
Inspectional Services,42.2404,-71.1244
Transportation - Traffic Division,42.2832,-71.0621
Transportation - Traffic Division,42.3594,-71.0587
Transportation - Traffic Division,42.3594,-71.0587
Inspectional Services,42.3193,-71.0724
Public Works Department,42.3489,-71.0737
Public Works Department,42.3797,-71.0327
Transportation - Traffic Division,42.3185,-71.0867
Public Works Department,42.2824,-71.1186
Transportation - Traffic Division,42.3297,-71.0924
Mayor's 24 Hour Hotline,42.2866,-71.1329
Mayor's 24 Hour Hotline,42.3458,-71.0783
Public Works Department,42.3594,-71.0587
Public Works Department,42.3313,-71.0828
Mayor's 24 Hour Hotline,42.3473,-71.0966
Public Works Department,42.3354,-71.0760
Transportation - Traffic Division,42.3214,-71.0782
Animal Control,42.3594,-71.0587
Transportation - Traffic Division,42.3594,-71.0587
Transportation - Traffic Division,42.3323,-71.0436
Transportation - Traffic Division,42.3594,-71.0587
Inspectional Services,42.3066,-71.1115
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3358,-71.0458
Transportation - Traffic Division,42.3821,-71.0371
Public Works Department,42.3355,-71.0468
Transportation - Traffic Division,42.3387,-71.0479
Transportation - Traffic Division,42.3481,-71.1400
Transportation - Traffic Division,42.3887,-71.0024
Mayor's 24 Hour Hotline,42.3594,-71.0587
Public Works Department,42.2965,-71.1163
Transportation - Traffic Division,42.3807,-71.0685
Public Works Department,42.2773,-71.1192
Public Works Department,42.3262,-71.1016
Mayor's 24 Hour Hotline,42.3228,-71.1060
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3594,-71.0587
Mayor's 24 Hour Hotline,42.3365,-71.0766
Mayor's 24 Hour Hotline,42.3253,-71.0968
Public Works Department,42.3594,-71.0587
Public Works Department,42.3524,-71.0779
Transportation - Traffic Division,42.3486,-71.0788
Transportation - Traffic Division,42.3751,-71.0386
Public Works Department,42.3594,-71.0587
Property Management,42.3691,-71.0370
Public Works Department,42.3397,-71.0801
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.2577,-71.1267
Animal Control,42.3180,-71.0976
Public Works Department,42.3594,-71.0587
Public Works Department,42.2846,-71.0833
Public Works Department,42.3511,-71.0859
Public Works Department,42.3643,-71.0559
Transportation - Traffic Division,42.2861,-71.0791
Public Works Department,42.3594,-71.0587
Public Works Department,42.2897,-71.0634
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3645,-71.0336
Public Works Department,42.3730,-71.0396
Public Works Department,42.3221,-71.0570
Public Works Department,42.2789,-71.0546
Public Works Department,42.3511,-71.0859
Public Works Department,42.2616,-71.1218
Public Works Department,42.3144,-71.0738
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.2824,-71.1567
Public Works Department,42.3124,-71.0998
Mayor's 24 Hour Hotline,42.3771,-71.0347
Public Works Department,42.2824,-71.1275
Public Works Department,42.3766,-71.0622
Public Works Department,42.3780,-71.0666
Public Works Department,42.3551,-71.1485
Mayor's 24 Hour Hotline,42.3403,-71.0731
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.2789,-71.0939
Public Works Department,42.3400,-71.0686
Public Works Department,42.2922,-71.0550
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Mayor's 24 Hour Hotline,42.3302,-71.0803
Mayor's 24 Hour Hotline,42.3361,-71.0750
Public Works Department,42.2530,-71.1169
Public Works Department,42.3594,-71.0587
Public Works Department,42.2777,-71.1334
Transportation - Traffic Division,42.3297,-71.0924
Public Works Department,42.2808,-71.0562
Public Works Department,42.3200,-71.1141
Inspectional Services,42.2830,-71.1584
Public Works Department,42.2670,-71.1073
Inspectional Services,42.3243,-71.0589
Public Works Department,42.3239,-71.0762
Public Works Department,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.2999,-71.0733
Public Works Department,42.3594,-71.0587
Public Works Department,42.3360,-71.0417
Property Management,42.3594,-71.0587
Public Works Department,42.2906,-71.1484
Property Management,42.3480,-71.0631
Transportation - Traffic Division,42.3474,-71.1568
Transportation - Traffic Division,42.3781,-71.0549
Public Works Department,42.3405,-71.0801
Public Works Department,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Public Works Department,42.2799,-71.0689
Transportation - Traffic Division,42.3499,-71.0870
Public Works Department,42.3228,-71.0796
Transportation - Traffic Division,42.3024,-71.0828
Public Works Department,42.3524,-71.1680
Mayor's 24 Hour Hotline,42.3594,-71.0587
Public Works Department,42.3459,-71.0856
Public Works Department,42.3459,-71.0856
Public Works Department,42.3516,-71.1555
Transportation - Traffic Division,42.3511,-71.0862
Public Works Department,42.2878,-71.0495
Transportation - Traffic Division,42.3372,-71.0471
Parks & Recreation Department,42.2879,-71.0456
Public Works Department,42.3594,-71.0587
Public Works Department,42.3779,-71.0601
Public Works Department,42.3349,-71.0405
Transportation - Traffic Division,42.3400,-71.0514
Transportation - Traffic Division,42.2794,-71.1355
Parks & Recreation Department,42.3347,-71.0741
Public Works Department,42.3423,-71.0700
Transportation - Traffic Division,42.3797,-71.0606
Public Works Department,42.2509,-71.1325
Transportation - Traffic Division,42.3249,-71.0642
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3478,-71.1326
Public Works Department,42.3029,-71.0608
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3007,-71.0506
Public Works Department,42.3384,-71.0815
Public Works Department,42.3384,-71.0720
Public Works Department,42.3388,-71.0713
Parks & Recreation Department,42.3436,-71.0797
Animal Control,42.2861,-71.0838
Public Works Department,42.3594,-71.0587
Public Works Department,42.2706,-71.1697
Public Works Department,42.3606,-71.0665
Public Works Department,42.3221,-71.0981
Transportation - Traffic Division,42.3367,-71.0436
Public Works Department,42.3334,-71.0334
Public Works Department,42.3305,-71.0565
Transportation - Traffic Division,42.3790,-71.0305
Public Works Department,42.2978,-71.1154
Public Works Department,42.3623,-71.0526
Public Works Department,42.3594,-71.0587
Public Works Department,42.2985,-71.1141
Mayor's 24 Hour Hotline,42.3594,-71.0587
Public Works Department,42.3427,-71.0723
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3172,-71.0945
Property Management,42.3291,-71.0980
Public Works Department,42.3202,-71.0572
Public Works Department,42.3157,-71.0623
Public Works Department,42.3594,-71.0587
Public Works Department,42.3706,-71.0383
Public Works Department,42.3656,-71.0551
Public Works Department,42.3594,-71.0587
Public Works Department,42.3640,-71.0531
Public Works Department,42.3188,-71.0637
Public Works Department,42.3216,-71.1144
Public Works Department,42.3521,-71.0838
Public Works Department,42.3469,-71.1366
Public Works Department,42.2834,-71.0914
Public Works Department,42.3505,-71.0782
Public Works Department,42.3269,-71.1083
Property Management,42.3315,-71.1116
Property Management,42.3323,-71.1123
Animal Control,42.2828,-71.0681
Public Works Department,42.3594,-71.0587
Property Management,42.3299,-71.0977
Property Management,42.3594,-71.0587
Public Works Department,42.3425,-71.0871
Public Works Department,42.3193,-71.0648
Public Works Department,42.3260,-71.1036
Public Works Department,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3594,-71.0587
Transportation - Traffic Division,42.3675,-71.0405
Public Works Department,42.3816,-71.0599
Parks & Recreation Department,42.3594,-71.0587
Property Management,42.2586,-71.1277
Public Works Department,42.2611,-71.1267
Inspectional Services,42.3422,-71.0847
Parks & Recreation Department,42.2643,-71.1274
Public Works Department,42.2651,-71.1278
Public Works Department,42.2651,-71.1285
Transportation - Traffic Division,42.2651,-71.1278
Inspectional Services,42.3184,-71.0694
Public Works Department,42.3415,-71.0788
Property Management,42.3594,-71.0587
Public Works Department,42.2356,-71.1271
Public Works Department,42.2675,-71.1212
Transportation - Traffic Division,42.3169,-71.0499
Property Management,42.3483,-71.0612
Mayor's 24 Hour Hotline,42.3396,-71.0833
Public Works Department,42.3594,-71.0587
Animal Control,42.3742,-71.0594
Public Works Department,42.3502,-71.0910
Public Works Department,42.3018,-71.0514
Public Works Department,42.3430,-71.1477
Mayor's 24 Hour Hotline,42.3594,-71.0587
Public Works Department,42.2636,-71.1271
Public Works Department,42.3382,-71.0938
Public Works Department,42.3504,-71.0890
Public Works Department,42.3369,-71.0418
Transportation - Traffic Division,42.3660,-71.0575
Transportation - Traffic Division,42.3594,-71.0587
Transportation - Traffic Division,42.3428,-71.1012
Public Works Department,42.2779,-71.0740
Public Works Department,42.3655,-71.0547
Public Works Department,42.2460,-71.1239
Animal Control,42.2715,-71.1605
Transportation - Traffic Division,42.3068,-71.0824
Transportation - Traffic Division,42.3068,-71.0824
Public Works Department,42.3594,-71.0587
Public Works Department,42.3159,-71.0531
Public Works Department,42.3594,-71.0587
Public Works Department,42.3178,-71.0700
Public Works Department,42.3594,-71.0587
Public Works Department,42.3423,-71.1459
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.2711,-71.1624
Transportation - Traffic Division,42.3356,-71.0273
Transportation - Traffic Division,42.3594,-71.0587
Transportation - Traffic Division,42.3210,-71.0602
Transportation - Traffic Division,42.3594,-71.0587
Inspectional Services,42.3359,-71.0497
Transportation - Traffic Division,42.3585,-71.1289
Transportation - Traffic Division,42.3494,-71.1614
Transportation - Traffic Division,42.3594,-71.0587
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.2831,-71.0670
Public Works Department,42.3594,-71.0587
Public Works Department,42.3203,-71.0569
Inspectional Services,42.3379,-71.0801
Public Works Department,42.3805,-71.0613
Public Works Department,42.3816,-71.0599
Parks & Recreation Department,42.3594,-71.0587
Public Works Department,42.2758,-71.0679
Public Works Department,42.2725,-71.0740
Parks & Recreation Department,42.3594,-71.0587
Parks & Recreation Department,42.3426,-71.1007
Public Works Department,42.2803,-71.0601
Mayor's 24 Hour Hotline,42.3248,-71.0644
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.2873,-71.0843
Transportation - Traffic Division,42.2928,-71.1217
Public Works Department,42.2909,-71.0544
Public Works Department,42.3594,-71.0587
Inspectional Services,42.3381,-71.0798
Public Works Department,42.3244,-71.0733
Public Works Department,42.3250,-71.0724
Parks & Recreation Department,42.3594,-71.0587
Public Works Department,42.3504,-71.0558
Public Works Department,42.3839,-71.0154
Public Works Department,42.2642,-71.1198
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3046,-71.0647
Public Works Department,42.3594,-71.0587
Inspectional Services,42.3200,-71.1030
Public Works Department,42.3142,-71.0919
Public Works Department,42.3138,-71.0646
Transportation - Traffic Division,42.3594,-71.0587
Transportation - Traffic Division,42.3369,-71.0466
Public Works Department,42.3594,-71.0587
Inspectional Services,42.3512,-71.1480
Public Works Department,42.3388,-71.0808
Public Works Department,42.3594,-71.0587
Public Works Department,42.3167,-71.1057
Transportation - Traffic Division,42.3747,-71.0640
Public Works Department,42.2861,-71.0479
Public Works Department,42.3469,-71.1690
Public Works Department,42.3594,-71.0587
Parks & Recreation Department,42.2661,-71.1166
Public Works Department,42.2752,-71.1627
Animal Control,42.3250,-71.0915
Public Works Department,42.3594,-71.0587
Inspectional Services,42.3563,-71.1429
Public Works Department,42.2829,-71.0649
Public Works Department,42.2927,-71.1524
Public Works Department,42.3407,-71.1548
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Public Works Department,42.3419,-71.0569
Mayor's 24 Hour Hotline,42.3594,-71.0587
Public Works Department,42.3376,-71.0494
Public Works Department,42.3375,-71.0483
Public Works Department,42.3371,-71.0479
Public Works Department,42.3594,-71.0587
Parks & Recreation Department,42.3714,-71.0324
Public Works Department,42.3351,-71.0262
Property Management,42.3670,-71.0580
Public Works Department,42.3594,-71.0587
Property Management,42.3659,-71.0572
Public Works Department,42.3656,-71.0566
Property Management,42.3655,-71.0565
Property Management,42.3656,-71.0566
Public Works Department,42.3665,-71.0559
Inspectional Services,42.3262,-71.1010
Inspectional Services,42.3234,-71.1016
Public Works Department,42.3670,-71.0537
Public Works Department,42.3660,-71.0532
Public Works Department,42.3774,-71.0365
Public Works Department,42.3485,-71.0677
Transportation - Traffic Division,42.3308,-71.0342
Public Works Department,42.3412,-71.1488
Public Works Department,42.3395,-71.1527
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Public Works Department,42.3583,-71.1281
Public Works Department,42.3427,-71.0772
Public Works Department,42.3151,-71.0949
Parks & Recreation Department,42.3383,-71.0792
Public Works Department,42.3594,-71.0587
Public Works Department,42.3515,-71.1741
Public Works Department,42.3049,-71.0762
Animal Control,42.3169,-71.0987
Public Works Department,42.3594,-71.0587
Public Works Department,42.2822,-71.1594
Parks & Recreation Department,42.3594,-71.0587
Public Works Department,42.3539,-71.0772
Public Works Department,42.3594,-71.0587
Public Works Department,42.3339,-71.1672
Public Works Department,42.3267,-71.0867
Property Management,42.3444,-71.0792
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.2766,-71.1326
Mayor's 24 Hour Hotline,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Public Works Department,42.3354,-71.0414
Mayor's 24 Hour Hotline,42.3594,-71.0587
Property Management,42.3594,-71.0587
Public Works Department,42.3123,-71.0545
Public Works Department,42.2821,-71.1595
Public Works Department,42.3594,-71.0587
Parks & Recreation Department,42.3318,-71.0931
Property Management,42.3639,-71.0555
Transportation - Traffic Division,42.3594,-71.0587
Mayor's 24 Hour Hotline,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Public Works Department,42.3872,-71.0068
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3594,-71.0587
Transportation - Traffic Division,42.3793,-71.0390
Public Works Department,42.3470,-71.1066
Public Works Department,42.3594,-71.0587
Mayor's 24 Hour Hotline,42.3305,-71.0547
Transportation - Traffic Division,42.3594,-71.0587
Transportation - Traffic Division,42.3190,-71.0779
Transportation - Traffic Division,42.3362,-71.0310
Transportation - Traffic Division,42.3317,-71.0464
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3607,-71.0659
Transportation - Traffic Division,42.3325,-71.0322
Public Works Department,42.3608,-71.0659
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.2672,-71.0972
Public Works Department,42.3594,-71.0587
Public Works Department,42.2645,-71.1041
Public Works Department,42.2660,-71.1026
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3376,-71.0780
Public Works Department,42.2520,-71.1195
Public Works Department,42.2719,-71.1073
Public Works Department,42.3187,-71.0571
Public Works Department,42.3202,-71.0572
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.2812,-71.0707
Public Works Department,42.3374,-71.0473
Public Works Department,42.3566,-71.0694
Inspectional Services,42.3596,-71.1466
Mayor's 24 Hour Hotline,42.3480,-71.0878
Public Works Department,42.2987,-71.0729
Public Works Department,42.3594,-71.0587
Public Works Department,42.3582,-71.0707
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3667,-71.0351
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3157,-71.0623
Transportation - Traffic Division,42.3363,-71.0362
Mayor's 24 Hour Hotline,42.3594,-71.0587
Transportation - Traffic Division,42.3594,-71.0587
Parks & Recreation Department,42.3219,-71.0970
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3681,-71.0395
Transportation - Traffic Division,42.3312,-71.0563
Transportation - Traffic Division,42.3164,-71.1036
Inspectional Services,42.3139,-71.0963
Property Management,42.3594,-71.0587
Transportation - Traffic Division,42.3007,-71.0649
Transportation - Traffic Division,42.2692,-71.1710
Public Works Department,42.3368,-71.0301
Public Works Department,42.3321,-71.0416
Inspectional Services,42.3382,-71.0494
Public Works Department,42.3172,-71.0990
Public Works Department,42.3326,-71.0334
Transportation - Traffic Division,42.3479,-71.0531
Public Works Department,42.2737,-71.0631
Public Works Department,42.3859,-71.0761
Public Works Department,42.3600,-71.0635
Inspectional Services,42.3641,-71.0519
Public Works Department,42.2815,-71.1339
Inspectional Services,42.3512,-71.0453
Public Works Department,42.3092,-71.1066
Public Works Department,42.3528,-71.0815
Public Works Department,42.3245,-71.0912
Public Works Department,42.2880,-71.0918
Inspectional Services,42.3594,-71.0587
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3330,-71.0342
Inspectional Services,42.3329,-71.0513
Transportation - Traffic Division,42.2951,-71.0712
Mayor's 24 Hour Hotline,42.3594,-71.0587
Public Works Department,42.3460,-71.0822
Public Works Department,42.3522,-71.0637
Public Works Department,42.3594,-71.0587
Property Management,42.3594,-71.0587
Transportation - Traffic Division,42.3114,-71.0544
Public Works Department,42.2815,-71.1442
Public Works Department,42.3483,-71.1630
Transportation - Traffic Division,42.2879,-71.0915
Public Works Department,42.3688,-71.0398
Inspectional Services,42.3664,-71.0358
Mayor's 24 Hour Hotline,42.3594,-71.0587
Public Works Department,42.3463,-71.1036
Public Works Department,42.3887,-71.0016
Public Works Department,42.3523,-71.1220
Public Works Department,42.2849,-71.1171
Transportation - Traffic Division,42.3887,-71.0020
Public Works Department,42.3355,-71.0753
Public Works Department,42.3317,-71.0424
Consumer Affairs & Licensing,42.3594,-71.0587
Transportation - Traffic Division,42.3805,-71.0296
Public Works Department,42.3594,-71.0587
Public Works Department,42.3137,-71.0566
Parks & Recreation Department,42.2875,-71.1303
Transportation - Traffic Division,42.3594,-71.0587
Transportation - Traffic Division,42.2837,-71.1354
Public Works Department,42.3803,-71.0625
Transportation - Traffic Division,42.3668,-71.0367
Public Works Department,42.2892,-71.0485
Mayor's 24 Hour Hotline,42.3366,-71.0765
Public Works Department,42.2937,-71.1151
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.2840,-71.1344
Public Works Department,42.3157,-71.1143
Animal Control,42.3594,-71.0587
Public Works Department,42.2560,-71.1238
Public Works Department,42.3217,-71.0565
Public Works Department,42.2873,-71.1229
Inspectional Services,42.3449,-71.0814
Inspectional Services,42.3156,-71.1176
Public Works Department,42.2543,-71.1262
Public Works Department,42.3594,-71.0587
Public Works Department,42.3472,-71.0719
Public Works Department,42.3157,-71.0623
Public Works Department,42.3594,-71.0587
Public Works Department,42.3602,-71.0635
Transportation - Traffic Division,42.3594,-71.0587
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3741,-71.0392
Animal Control,42.3594,-71.0587
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3332,-71.0481
Transportation - Traffic Division,42.3594,-71.0587
Mayor's 24 Hour Hotline,42.3337,-71.0742
Animal Control,42.3594,-71.0587
Public Works Department,42.3080,-71.1136
Public Works Department,42.3364,-71.0841
Mayor's 24 Hour Hotline,42.3594,-71.0587
Transportation - Traffic Division,42.3667,-71.0558
Public Works Department,42.2914,-71.0498
Public Works Department,42.3594,-71.0587
Public Works Department,42.3671,-71.0359
Public Works Department,42.3594,-71.0587
Mayor's 24 Hour Hotline,42.3594,-71.0587
Public Works Department,42.3383,-71.1467
