subject,latitude,longitude
Public Works Department,42.3399,-71.0745
Public Works Department,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Animal Control,42.3798,-71.0681
Public Works Department,42.3359,-71.0759
Transportation - Traffic Division,42.2982,-71.0765
Public Works Department,42.3374,-71.0473
Animal Control,42.3060,-71.0699
Mayor's 24 Hour Hotline,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3497,-71.0691
Transportation - Traffic Division,42.3336,-71.0372
Public Works Department,42.3330,-71.0521
Animal Control,42.3594,-71.0587
Public Works Department,42.3453,-71.1635
Public Works Department,42.3200,-71.0617
Public Works Department,42.3391,-71.0680
Transportation - Traffic Division,42.3163,-71.0899
Public Works Department,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Public Works Department,42.3587,-71.0649
Public Works Department,42.3571,-71.1594
Public Works Department,42.3390,-71.1569
Transportation - Traffic Division,42.3497,-71.1675
Public Works Department,42.3511,-71.0878
Public Works Department,42.3116,-71.0777
Public Works Department,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3594,-71.0653
Transportation - Traffic Division,42.3594,-71.0587
Transportation - Traffic Division,42.2778,-71.0938
Public Works Department,42.2947,-71.0814
Public Works Department,42.3518,-71.0752
Animal Control,42.2465,-71.1376
Mayor's 24 Hour Hotline,42.3594,-71.0587
Public Works Department,42.3793,-71.0644
Public Works Department,42.3581,-71.1585
Public Works Department,42.3594,-71.0587
Inspectional Services,42.3758,-71.0393
Transportation - Traffic Division,42.3423,-71.1658
Public Works Department,42.2928,-71.1406
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3007,-71.1107
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3255,-71.0807
Parks & Recreation Department,42.3473,-71.0723
Public Works Department,42.3509,-71.1363
Transportation - Traffic Division,42.3365,-71.0279
Public Works Department,42.3078,-71.1179
Public Works Department,42.3371,-71.0254
Public Works Department,42.3440,-71.0794
Public Works Department,42.2846,-71.0458
Public Works Department,42.2971,-71.0558
Public Works Department,42.3828,-71.0699
Public Works Department,42.3470,-71.0712
Property Management,42.3544,-71.1382
Public Works Department,42.3298,-71.0883
Public Works Department,42.2851,-71.0696
Mayor's 24 Hour Hotline,42.3594,-71.0587
Public Works Department,42.3434,-71.1457
Public Works Department,42.3594,-71.0587
Public Works Department,42.3516,-71.0856
Public Works Department,42.3535,-71.0810
Public Works Department,42.3175,-71.0854
Transportation - Traffic Division,42.3175,-71.0854
Public Works Department,42.3209,-71.0640
Public Works Department,42.3007,-71.1107
Public Works Department,42.2940,-71.0798
Transportation - Traffic Division,42.3496,-71.1498
Public Works Department,42.3594,-71.0587
Public Works Department,42.2991,-71.0619
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Inspectional Services,42.3526,-71.1483
Public Works Department,42.3594,-71.0587
Public Works Department,42.3651,-71.0549
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3594,-71.0587
Transportation - Traffic Division,42.3372,-71.0493
Public Works Department,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3021,-71.0848
Public Works Department,42.3811,-71.0640
Mayor's 24 Hour Hotline,42.3436,-71.0810
Transportation - Traffic Division,42.3217,-71.1040
Public Works Department,42.3353,-71.1058
Public Works Department,42.2905,-71.1186
Public Works Department,42.3207,-71.0641
Public Works Department,42.3120,-71.1028
Public Works Department,42.3703,-71.0339
Public Works Department,42.3769,-71.0390
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3381,-71.0775
Public Works Department,42.3657,-71.0547
Transportation - Traffic Division,42.3429,-71.0886
Public Works Department,42.3658,-71.0540
Public Works Department,42.3339,-71.0258
Transportation - Traffic Division,42.3378,-71.0801
Public Works Department,42.3650,-71.0325
Transportation - Traffic Division,42.3301,-71.0551
Public Works Department,42.3767,-71.0315
Public Works Department,42.3821,-71.0384
Public Works Department,42.3821,-71.0384
